Period;Date;stage;GSPC;SHY;IEF;TLT;GLD;DBC;IGLB
3;27/04/1983;light green;-0.002286603;;;;;;
3;28/04/1983;light green;0.009353286;;;;;;
3;29/04/1983;light green;0.009082515;;;;;;
3;2/05/1983;light green;-0.0141093;;;;;;
3;3/05/1983;light green;0.001418763;;;;;;
3;4/05/1983;light green;0.005975122;;;;;;
3;5/05/1983;light green;0.005939631;;;;;;
3;6/05/1983;light green;0.011078691;;;;;;
3;9/05/1983;light green;-0.001745987;;;;;;
3;10/05/1983;light green;0.000844336;;;;;;
3;11/05/1983;light green;-0.005965593;;;;;;
3;12/05/1983;light green;-0.004304114;;;;;;
3;13/05/1983;light green;0.004018287;;;;;;
3;16/05/1983;light green;-0.009156569;;;;;;
3;17/05/1983;light green;0.001897263;;;;;;
3;18/05/1983;light green;-0.002687694;;;;;;
3;19/05/1983;light green;-0.007839767;;;;;;
3;20/05/1983;light green;0.000925945;;;;;;
3;23/05/1983;light green;0.007956046;;;;;;
3;24/05/1983;light green;0.012910731;;;;;;
3;25/05/1983;light green;0.004047441;;;;;;
3;26/05/1983;light green;-0.0043921;;;;;;
3;27/05/1983;light green;-0.006163821;;;;;;
3;31/05/1983;light green;-0.012586691;;;;;;
3;1/06/1983;light green;0.000985305;;;;;;
3;2/06/1983;light green;0.008797247;;;;;;
3;3/06/1983;light green;0.002683269;;;;;;
3;6/06/1983;light green;0.002493636;;;;;;
3;7/06/1983;light green;-0.01249771;;;;;;
3;8/06/1983;light green;-0.008662552;;;;;;
3;9/06/1983;light green;0.002912749;;;;;;
3;10/06/1983;light green;0.005252369;;;;;;
3;13/06/1983;light green;0.013277623;;;;;;
3;14/06/1983;light green;0.004185892;;;;;;
3;15/06/1983;light green;0.009605487;;;;;;
3;16/06/1983;light green;0.012087149;;;;;;
3;17/06/1983;light green;-5.91E-05;;;;;;
3;20/06/1983;light green;-0.000650391;;;;;;
3;21/06/1983;light green;0.008933821;;;;;;
3;22/06/1983;light green;0.002697512;;;;;;
3;23/06/1983;light green;-0.002456273;;;;;;
3;24/06/1983;light green;-0.000938052;;;;;;
3;27/06/1983;light green;-0.011442973;;;;;;
3;28/06/1983;light green;-0.016502516;;;;;;
3;29/06/1983;light green;0.005794343;;;;;;
3;30/06/1983;light green;0.00600096;;;;;;
4;1/04/1991;light green;0.022084601;;;;;;
4;2/04/1991;light green;0.022084601;;;;;;
4;3/04/1991;light green;-0.001475619;;;;;;
4;4/04/1991;light green;0.002190285;;;;;;
4;5/04/1991;light green;-0.011612301;;;;;;
4;8/04/1991;light green;0.008791609;;;;;;
4;9/04/1991;light green;-0.013468563;;;;;;
4;10/04/1991;light green;-0.001097558;;;;;;
4;11/04/1991;light green;0.012005925;;;;;;
4;12/04/1991;light green;0.007335193;;;;;;
4;15/04/1991;light green;0.002076784;;;;;;
4;16/04/1991;light green;0.016868209;;;;;;
4;17/04/1991;light green;0.007301009;;;;;;
4;18/04/1991;light green;-0.005096736;;;;;;
4;19/04/1991;light green;-0.010966327;;;;;;
4;22/04/1991;light green;-0.008459136;;;;;;
4;23/04/1991;light green;0.002126257;;;;;;
4;24/04/1991;light green;0.002619447;;;;;;
4;25/04/1991;light green;-0.009170263;;;;;;
4;26/04/1991;light green;-0.000606489;;;;;;
4;29/04/1991;light green;-0.014141696;;;;;;
4;30/04/1991;light green;0.004496046;;;;;;
4;1/05/1991;light green;0.013188075;;;;;;
4;2/05/1991;light green;0.00060475;;;;;;
4;3/05/1991;light green;0.000735832;;;;;;
4;6/05/1991;light green;-0.00189076;;;;;;
4;7/05/1991;light green;-0.007261575;;;;;;
4;8/05/1991;light green;0.003153828;;;;;;
4;9/05/1991;light green;0.012522761;;;;;;
4;10/05/1991;light green;-0.01959559;;;;;;
4;13/05/1991;light green;0.002714695;;;;;;
4;14/05/1991;light green;-0.013642676;;;;;;
4;15/05/1991;light green;-0.008207276;;;;;;
4;16/05/1991;light green;0.00982173;;;;;;
4;17/05/1991;light green;0.000537393;;;;;;
4;20/05/1991;light green;-0.000295432;;;;;;
4;21/05/1991;light green;0.008246501;;;;;;
4;22/05/1991;light green;0.002237901;;;;;;
4;23/05/1991;light green;-0.003269653;;;;;;
4;24/05/1991;light green;0.006747383;;;;;;
4;28/05/1991;light green;0.011788424;;;;;;
4;29/05/1991;light green;0.002225496;;;;;;
4;30/05/1991;light green;0.010893657;;;;;;
4;31/05/1991;light green;0.007416775;;;;;;
4;3/06/1991;light green;-0.004540413;;;;;;
4;4/06/1991;light green;-0.000824634;;;;;;
4;5/06/1991;light green;-0.006834461;;;;;;
4;6/06/1991;light green;-0.003791299;;;;;;
4;7/06/1991;light green;-0.010948081;;;;;;
4;10/06/1991;light green;-0.002266519;;;;;;
4;11/06/1991;light green;0.006550916;;;;;;
4;12/06/1991;light green;-0.011547025;;;;;;
4;13/06/1991;light green;0.002601914;;;;;;
4;14/06/1991;light green;0.012340131;;;;;;
4;17/06/1991;light green;-0.00565017;;;;;;
4;18/06/1991;light green;-0.004051268;;;;;;
4;19/06/1991;light green;-0.00924483;;;;;;
4;20/06/1991;light green;0.000879834;;;;;;
4;21/06/1991;light green;0.006206346;;;;;;
4;24/06/1991;light green;-0.01802779;;;;;;
4;25/06/1991;light green;-0.000781821;;;;;;
4;26/06/1991;light green;0.002536092;;;;;;
4;27/06/1991;light green;0.007562092;;;;;;
4;28/06/1991;light green;-0.00865382;;;;;;
4;1/07/1991;light green;0.018213195;;;;;;
4;2/07/1991;light green;-0.00119076;;;;;;
4;3/07/1991;light green;-0.010967798;;;;;;
4;5/07/1991;light green;0.002008947;;;;;;
4;8/07/1991;light green;0.010318691;;;;;;
4;9/07/1991;light green;-0.004842083;;;;;;
4;10/07/1991;light green;-0.000983742;;;;;;
4;11/07/1991;light green;0.00327357;;;;;;
4;12/07/1991;light green;0.008700954;;;;;;
4;15/07/1991;light green;0.005627915;;;;;;
4;16/07/1991;light green;-0.002222877;;;;;;
4;17/07/1991;light green;-0.000943586;;;;;;
4;18/07/1991;light green;0.010992189;;;;;;
4;19/07/1991;light green;-0.002984129;;;;;;
4;22/07/1991;light green;-0.003487576;;;;;;
4;23/07/1991;light green;-0.009036752;;;;;;
4;24/07/1991;light green;-0.002055766;;;;;;
4;25/07/1991;light green;0.006127131;;;;;;
4;26/07/1991;light green;-7.87E-05;;;;;;
4;29/07/1991;light green;0.005827846;;;;;;
4;30/07/1991;light green;0.009239224;;;;;;
4;31/07/1991;light green;0.002896365;;;;;;
4;1/08/1991;light green;-0.001779228;;;;;;
4;2/08/1991;light green;0.000154985;;;;;;
4;5/08/1991;light green;-0.005475477;;;;;;
4;6/08/1991;light green;0.014439302;;;;;;
4;7/08/1991;light green;-0.000153596;;;;;;
4;8/08/1991;light green;-0.003174903;;;;;;
4;9/08/1991;light green;-0.00565091;;;;;;
4;12/08/1991;light green;0.002324845;;;;;;
4;13/08/1991;light green;0.004123515;;;;;;
4;14/08/1991;light green;0.000718646;;;;;;
4;15/08/1991;light green;-0.001461932;;;;;;
4;16/08/1991;light green;-0.009631932;;;;;;
4;19/08/1991;light green;-0.023626707;;;;;;
