month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Set-74,46.8,42.1,contraction,-0.018867925,-0.046843177,-0.073267327,0,0,0,red,-0.015955073999999993
Oct-74,46.2,42.0,contraction,-0.012820513,-0.04742268,-0.072289157,0,0,0,red,0.0009781699999999866
Nov-74,45.5,41.5,contraction,-0.015151515,-0.046121593,-0.08266129,0,0,0,red,-0.010372132999999992
Dic-74,44.7,40.8,contraction,-0.017582418,-0.044871795,-0.089613035,0,0,0,red,-0.006951744999999995
Ene-75,44.4,40.6,contraction,-0.006711409,-0.038961039,-0.084536082,0,0,0,red,0.005076952999999995
Feb-75,44.2,40.3,contraction,-0.004504505,-0.028571429,-0.073375262,0,0,0,red,0.011160820000000002
Mar-75,44.1,39.9,contraction,-0.002262443,-0.013422819,-0.057692308,0,0,0,red,0.015682954
Abr-75,44.7,40.0,expansion,0.013605442,0.006756757,-0.032467532,1,1,0,light green,0.025224775999999997
May-75,45.0,40.0,expansion,0.006711409,0.018099548,-0.010989011,1,1,0,light green,0.021478521
Jun-75,45.3,40.1,expansion,0.006666667,0.027210884,0.013422819,1,1,1,light green,0.024411830000000002
Jul-75,45.8,40.3,expansion,0.011037528,0.024608501,0.031531532,1,1,1,light green,0.018108713
Ago-75,45.9,40.6,expansion,0.002183406,0.02,0.038461538,1,1,1,light green,0.0069300060000000024
Set-75,46.1,40.8,expansion,0.004357298,0.017660044,0.045351474,1,1,1,light green,0.006889935999999999
Oct-75,46.5,40.9,expansion,0.00867679,0.015283843,0.040268456,1,1,1,dark green,-0.005083018000000002
Nov-75,46.7,41.0,expansion,0.004301075,0.017429194,0.037777778,1,1,1,dark green,-0.002490678000000003
Dic-75,47.0,41.2,expansion,0.006423983,0.019522777,0.037527594,1,1,1,dark green,-0.0002501840000000005
Ene-76,47.7,41.7,expansion,0.014893617,0.025806452,0.041484716,1,1,1,dark green,0.003957122
Feb-76,48.4,41.9,expansion,0.014675052,0.03640257,0.054466231,1,1,1,dark green,0.012981514999999999
