Date,stage,d_GSPC,d_IXIC,d_DJI,d_IWM
28/11/2001,red,-0.018251396,-0.024793773,-0.016281351,-0.017458265
29/11/2001,red,0.010349777,0.02398875,0.012104743,0.029427977
30/11/2001,red,-0.000657779,-0.001386287,0.002252386,-0.011865859
03/12/2001,light green,-0.008381173,-0.013301667,-0.008891953,-0.006550425
04/12/2001,light green,0.01318703,0.030552759,0.013301968,0.023077106
05/12/2001,light green,0.022318244,0.042657017,0.022281561,0.022019117
06/12/2001,light green,-0.002776947,0.003630012,-0.001497919,0.014188312
07/12/2001,light green,-0.007531417,-0.016068973,-0.0049192,-0.007564892
10/12/2001,light green,-0.015867949,-0.014416757,-0.012737975,-0.017332471
11/12/2001,light green,-0.002780911,0.004924432,-0.003334198,0.005737316
12/12/2001,light green,0.000272649,0.00472042,0.000651215,0.001584995
13/12/2001,light green,-0.015557478,-0.032251486,-0.012972395,-0.017827216
14/12/2001,light green,0.0033143,0.003421526,0.004576913,0.011417565
17/12/2001,light green,0.010034832,0.017550908,0.008237498,0.019169419
18/12/2001,light green,0.007546157,0.008709683,0.010758213,0.008882007
19/12/2001,light green,0.005809693,-0.010909034,0.007211219,-0.007768057
20/12/2001,light green,-0.008377122,-0.03245262,-0.00847134,-0.015657536
21/12/2001,light green,0.00435111,0.014224315,0.00502346,0.020148677
24/12/2001,light green,-0.000209619,-0.000693779,0,0.004677024
26/12/2001,light green,0.004123506,0.008341547,0.005261387,0.008795532
27/12/2001,light green,0.006751533,0.008017592,0.004279275,0.00410224
28/12/2001,light green,0.003361779,0.005484647,0.000560703,0.00102137
31/12/2001,light green,-0.011145427,-0.018548145,-0.011386015,-0.016837193
02/01/2002,light green,0.005740095,0.014791825,0.005171852,0.009237832
03/01/2002,light green,0.009180091,0.032850837,0.009801979,0.013882339
04/01/2002,light green,0.006213144,0.007391324,0.008611815,0.00872373
07/01/2002,light green,-0.006498874,-0.010818746,-0.006110333,-0.016088725
08/01/2002,light green,-0.003588368,0.00915027,-0.004560142,0.011752627
09/01/2002,light green,-0.004798741,-0.005277893,-0.005562256,-0.010100823
10/01/2002,light green,0.001220661,0.001149194,-0.0025985,0.006122273
11/01/2002,light green,-0.009467876,-0.012104115,-0.007978863,-0.012170241
14/01/2002,light green,-0.006276137,-0.015683856,-0.009623035,-0.01488697
15/01/2002,light green,0.006834011,0.005108675,0.003308976,0.006774297
16/01/2002,light green,-0.016245122,-0.028222205,-0.021350025,-0.02028981
17/01/2002,light green,0.010030472,0.021281195,0.014185202,0.004860669
18/01/2002,light green,-0.009922072,-0.027938072,-0.007938082,-0.012618666
22/01/2002,light green,-0.0073342,-0.024767625,-0.005940513,-0.006389594
23/01/2002,light green,0.00792452,0.021168308,0.001766575,0.013933308
24/01/2002,light green,0.003518915,0.010507783,0.006691051,0.007928077
25/01/2002,light green,0.000998105,-0.002512126,0.004492594,-0.000733923
28/01/2002,light green,-0.0001941,0.003204873,0.002608711,0.006506836
29/01/2002,light green,-0.02861282,-0.026194651,-0.02508778,-0.017622341
30/01/2002,light green,0.011747648,0.01080299,0.015036027,0.012525498
31/01/2002,light green,0.014933956,0.01076077,0.016095657,0.008491572
01/02/2002,light green,-0.007078394,-0.011783705,-0.001284298,-0.005717479
04/02/2002,light green,-0.024737133,-0.029148595,-0.02222309,-0.023523343
05/02/2002,light green,-0.004038523,-0.009167197,-0.000171378,-0.003854088
06/02/2002,light green,-0.005972377,-0.014038498,-0.003308066,-0.011177751
07/02/2002,light green,-0.003082543,-0.01688079,-0.002895275,-0.013044398
08/02/2002,light green,0.014858704,0.020632857,0.012342272,0.026432289
11/02/2002,light green,0.01434016,0.015273151,0.014422883,0.004398956
12/02/2002,light green,-0.003992968,-0.006741941,-0.002128529,0.002136995
13/02/2002,light green,0.009941318,0.013602626,0.012766931,0.009486779
14/02/2002,light green,-0.001814941,-0.008493104,0.001233305,-0.012671443
15/02/2002,light green,-0.011016701,-0.020706664,-0.00989305,-0.001497848
19/02/2002,light green,-0.018873813,-0.030240399,-0.015944638,-0.019386713
20/02/2002,light green,0.013513776,0.014257865,0.020115697,0.016930559
21/02/2002,light green,-0.015510327,-0.033414598,-0.010712042,-0.021375166
22/02/2002,light green,0.008224261,0.004836182,0.013571434,0.018000779
25/02/2002,light green,0.017975197,0.026291049,0.01781269,0.006252984
