Period,Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
1,11/11/1976,dark green,0.008399978,,,,,,
1,12/11/1976,dark green,-0.004014467,,,,,,
1,15/11/1976,dark green,0.006650581,,,,,,
1,16/11/1976,dark green,0.001401395,,,,,,
1,17/11/1976,dark green,0.005697718,,,,,,
1,18/11/1976,dark green,0.012722381,,,,,,
1,19/11/1976,dark green,0.000294423,,,,,,
1,22/11/1976,dark green,0.006573765,,,,,,
1,23/11/1976,dark green,-0.006140922,,,,,,
1,24/11/1976,dark green,0.004413541,,,,,,
1,26/11/1976,dark green,0.007225835,,,,,,
1,29/11/1976,dark green,-0.006883171,,,,,,
1,30/11/1976,dark green,-0.003319054,,,,,,
1,01/12/1976,dark green,0.003819779,,,,,,
1,02/12/1976,dark green,-0.003610062,,,,,,
1,03/12/1976,dark green,0.006267131,,,,,,
1,06/12/1976,dark green,0.007785086,,,,,,
1,07/12/1976,dark green,-0.000675934,,,,,,
1,08/12/1976,dark green,0.005701072,,,,,,
1,09/12/1976,dark green,0.00413144,,,,,,
1,10/12/1976,dark green,0.001817958,,,,,,
1,13/12/1976,dark green,-0.000668573,,,,,,
1,14/12/1976,dark green,0.004205318,,,,,,
1,15/12/1976,dark green,0.00066622,,,,,,
1,16/12/1976,dark green,-0.003233748,,,,,,
1,17/12/1976,dark green,-0.005152681,,,,,,
1,20/12/1976,dark green,-0.005850763,,,,,,
1,21/12/1976,dark green,0.005499273,,,,,,
1,22/12/1976,dark green,0.004701573,,,,,,
1,23/12/1976,dark green,0.001241497,,,,,,
1,27/12/1976,dark green,0.011636793,,,,,,
1,28/12/1976,dark green,0.006694315,,,,,,
1,29/12/1976,dark green,-0.004027351,,,,,,
1,30/12/1976,dark green,0.005078061,,,,,,
1,31/12/1976,dark green,0.005426664,,,,,,
1,03/01/1977,dark green,-0.004280654,,,,,,
1,04/01/1977,dark green,-0.012149562,,,,,,
1,05/01/1977,dark green,-0.008893045,,,,,,
1,06/01/1977,dark green,0.002481811,,,,,,
1,07/01/1977,dark green,-9.51676E-05,,,,,,
1,10/01/1977,dark green,0.001809302,,,,,,
1,11/01/1977,dark green,-0.010266105,,,,,,
1,12/01/1977,dark green,-0.006915109,,,,,,
1,13/01/1977,dark green,0.007736899,,,,,,
1,14/01/1977,dark green,-0.001823367,,,,,,
1,17/01/1977,dark green,-0.002692036,,,,,,
1,18/01/1977,dark green,-0.003952605,,,,,,
1,19/01/1977,dark green,0.005129683,,,,,,
1,20/01/1977,dark green,-0.008473734,,,,,,
1,21/01/1977,dark green,0.003399034,,,,,,
1,24/01/1977,dark green,-0.000677504,,,,,,
1,25/01/1977,dark green,-0.001162254,,,,,,
1,26/01/1977,dark green,-0.007660245,,,,,,
1,27/01/1977,dark green,-0.005374198,,,,,,
1,28/01/1977,dark green,0.001375375,,,,,,
1,31/01/1977,dark green,0.000981051,,,,,,
1,01/02/1977,dark green,0.00499855,,,,,,
1,02/02/1977,dark green,-0.001755415,,,,,,
1,03/02/1977,dark green,-0.004982435,,,,,,
1,04/02/1977,dark green,0.000294539,,,,,,
1,07/02/1977,dark green,9.81753E-05,,,,,,
1,08/02/1977,dark green,-0.002846216,,,,,,
1,09/02/1977,dark green,-0.008562944,,,,,,
1,10/02/1977,dark green,0.000893441,,,,,,
1,11/02/1977,dark green,-0.005951185,,,,,,
1,14/02/1977,dark green,0.005188552,,,,,,
1,15/02/1977,dark green,0.002977993,,,,,,
1,16/02/1977,dark green,0.004552643,,,,,,
1,17/02/1977,dark green,-0.005714303,,,,,,
1,18/02/1977,dark green,-0.004260804,,,,,,
1,22/02/1977,dark green,0,,,,,,
1,23/02/1977,dark green,-0.002985327,,,,,,
1,24/02/1977,dark green,-0.00588885,,,,,,
1,25/02/1977,dark green,-0.00120477,,,,,,
1,28/02/1977,dark green,0.003417735,,,,,,
1,01/03/1977,dark green,0.008415187,,,,,,
1,02/03/1977,dark green,-0.002682339,,,,,,
1,03/03/1977,dark green,0.004880943,,,,,,
1,04/03/1977,dark green,0.003172082,,,,,,
1,07/03/1977,dark green,0.000494102,,,,,,
1,08/03/1977,dark green,-0.00375306,,,,,,
1,09/03/1977,dark green,-0.007633629,,,,,,
1,10/03/1977,dark green,0.005694303,,,,,,
1,11/03/1977,dark green,-0.000198636,,,,,,
1,14/03/1977,dark green,0.00765024,,,,,,
1,15/03/1977,dark green,0.005521645,,,,,,
1,16/03/1977,dark green,0.001863059,,,,,,
1,17/03/1977,dark green,-0.00088085,,,,,,
1,18/03/1977,dark green,-0.002155184,,,,,,
1,21/03/1977,dark green,-0.005399597,,,,,,
1,22/03/1977,dark green,-0.003059891,,,,,,
1,23/03/1977,dark green,-0.007920823,,,,,,
1,24/03/1977,dark green,-0.00499002,,,,,,
1,25/03/1977,dark green,-0.006419252,,,,,,
1,28/03/1977,dark green,-0.000605669,,,,,,
1,29/03/1977,dark green,0.006969722,,,,,,
1,30/03/1977,dark green,-0.011535776,,,,,,
1,31/03/1977,dark green,-0.001217807,,,,,,
1,01/04/1977,dark green,0.008026833,,,,,,
1,04/04/1977,dark green,-0.009877993,,,,,,
1,05/04/1977,dark green,-0.002239654,,,,,,
1,06/04/1977,dark green,-0.001020289,,,,,,
1,07/04/1977,dark green,0.00449387,,,,,,
1,11/04/1977,dark green,0.005388905,,,,,,
1,12/04/1977,dark green,0.012843894,,,,,,
1,13/04/1977,dark green,9.98722E-05,,,,,,
1,14/04/1977,dark green,0.008386544,,,,,,
1,15/04/1977,dark green,0.000396049,,,,,,
1,18/04/1977,dark green,-0.004948535,,,,,,
1,19/04/1977,dark green,-0.004674768,,,,,,
1,20/04/1977,dark green,0.00329771,,,,,,
1,21/04/1977,dark green,-0.006474118,,,,,,
1,22/04/1977,dark green,-0.013132808,,,,,,
1,25/04/1977,dark green,-0.013104438,,,,,,
1,26/04/1977,dark green,-0.000411744,,,,,,
1,27/04/1977,dark green,0.008752945,,,,,,
1,28/04/1977,dark green,0.002449958,,,,,,
1,29/04/1977,dark green,0.002444048,,,,,,
1,02/05/1977,dark green,0.00497763,,,,,,
1,03/05/1977,dark green,0.005054079,,,,,,
1,04/05/1977,dark green,0.005330371,,,,,,
1,05/05/1977,dark green,0.001500615,,,,,,
1,06/05/1977,dark green,-0.006193215,,,,,,
1,09/05/1977,dark green,-0.003115866,,,,,,
1,10/05/1977,dark green,0.002923986,,,,,,
1,11/05/1977,dark green,-0.006936789,,,,,,
1,12/05/1977,dark green,-0.000506129,,,,,,
1,13/05/1977,dark green,0.003038544,,,,,,
1,16/05/1977,dark green,0.004443123,,,,,,
1,17/05/1977,dark green,0.003015939,,,,,,
1,18/05/1977,dark green,0.005312283,,,,,,
1,19/05/1977,dark green,-0.004187496,,,,,,
1,20/05/1977,dark green,-0.004305169,,,,,,
1,23/05/1977,dark green,-0.01307185,,,,,,
1,24/05/1977,dark green,-0.004890508,,,,,,
1,25/05/1977,dark green,-0.009214718,,,,,,
1,26/05/1977,dark green,0.002480164,,,,,,
1,27/05/1977,dark green,-0.007628136,,,,,,
1,31/05/1977,dark green,-0.001558054,,,,,,
1,01/06/1977,dark green,0.008426941,,,,,,
1,02/06/1977,dark green,-0.001960203,,,,,,
1,03/06/1977,dark green,0.009820184,,,,,,
1,06/06/1977,dark green,-0.004708763,,,,,,
1,07/06/1977,dark green,0.005142446,,,,,,
1,08/06/1977,dark green,0.004809102,,,,,,
1,09/06/1977,dark green,-0.000610973,,,,,,
1,10/06/1977,dark green,0.003260645,,,,,,
1,13/06/1977,dark green,0.002843782,,,,,,
1,14/06/1977,dark green,0.011342949,,,,,,
1,15/06/1977,dark green,-0.002503505,,,,,,
1,16/06/1977,dark green,0.002409375,,,,,,
1,17/06/1977,dark green,0.00120183,,,,,,
1,20/06/1977,dark green,0.00450132,,,,,,
1,21/06/1977,dark green,0.003186613,,,,,,
1,22/06/1977,dark green,-0.00277942,,,,,,
